Year,Month,TotalRainfall,MostRainfallInDay,RainDays
1974.00,8.00,118.90,26.90,22.00
1974.00,9.00,187.40,34.50,23.00
1974.00,10.00,31.50,12.80,11.00
1974.00,11.00,80.30,18.00,23.00
1974.00,12.00,68.60,10.20,23.00
1975.00,1.00,162.80,23.10,23.00
1975.00,2.00,56.20,15.90,15.00
1975.00,3.00,34.00,7.30,12.00
1975.00,4.00,42.60,7.80,16.00
1975.00,5.00,32.30,9.20,11.00
1975.00,6.00,20.20,4.80,12.00
1975.00,7.00,186.30,83.80,17.00
1975.00,8.00,42.40,11.40,15.00
1975.00,9.00,139.70,25.70,19.00
1975.00,10.00,204.70,86.70,17.00
1975.00,11.00,56.60,8.50,19.00
1975.00,12.00,31.10,19.10,11.00
1976.00,1.00,90.30,25.00,18.00
1976.00,2.00,67.00,8.50,22.00
1976.00,3.00,111.00,23.50,19.00
1976.00,4.00,20.70,16.00,6.00
1976.00,5.00,113.10,37.60,22.00
1976.00,6.00,51.60,15.00,15.00
1976.00,7.00,92.80,16.40,13.00
1976.00,8.00,14.00,5.60,7.00
1976.00,9.00,106.90,18.10,16.00
1976.00,10.00,209.80,26.60,24.00
1976.00,11.00,104.20,16.40,18.00
1976.00,12.00,147.50,23.70,19.00
1977.00,1.00,162.10,31.70,20.00
1977.00,2.00,237.10,24.60,24.00
1977.00,3.00,149.90,24.00,25.00
1977.00,4.00,39.90,10.60,18.00
1977.00,5.00,40.90,10.50,15.00
1977.00,6.00,36.40,9.20,12.00
1977.00,7.00,30.10,10.90,12.00
1977.00,8.00,125.00,24.40,14.00
1977.00,9.00,69.70,23.90,14.00
1977.00,10.00,222.30,51.20,28.00
1977.00,11.00,92.30,28.40,18.00
1977.00,12.00,204.00,34.80,23.00
1978.00,1.00,106.40,28.10,22.00
1978.00,2.00,166.10,33.40,23.00
1978.00,3.00,100.60,12.70,24.00
1978.00,4.00,99.00,44.90,11.00
1978.00,5.00,25.80,8.50,7.00
1978.00,6.00,59.90,15.00,15.00
1978.00,7.00,82.90,31.00,14.00
1978.00,8.00,114.10,19.80,13.00
1978.00,9.00,44.70,22.10,11.00
1978.00,10.00,49.10,21.10,12.00
1978.00,11.00,96.20,12.70,22.00
1978.00,12.00,265.00,46.70,24.00
